B1,B2,B3,B4,B5,B6,B7,Class
345,436,608,677,1072,1286,1199,1
352,452,626,694,1096,1386,1266,1
338,442,603,678,1056,1325,1213,1
296,394,569,625,1053,1289,1279,1
303,401,570,625,978,1281,1316,1
275,363,538,584,971,1230,1213,1
342,439,591,653,1014,1199,1081,1
340,429,584,641,1007,1186,1077,1
295,396,554,626,945,1233,1267,1
275,368,526,570,864,1140,1203,1
345,437,592,663,1016,1304,1197,1
309,398,574,628,977,1271,1273,1
357,452,610,671,1013,1250,1175,1
335,430,586,650,1015,1206,1148,1
351,449,596,682,1018,1251,1141,1
328,430,582,652,983,1211,1095,1
486,549,659,715,1033,1204,1122,1
331,432,599,683,1068,1325,1182,1
435,530,651,695,968,1085,965,1
502,561,659,695,941,940,798,1
444,521,644,684,959,987,852,1
491,549,664,697,948,979,860,1
236,314,457,507,738,809,808,1
239,320,464,510,751,845,845,1
232,309,450,493,717,790,782,1
227,310,448,488,714,782,785,1
232,317,461,508,742,812,803,1
227,316,450,493,710,772,787,1
233,316,456,499,730,904,922,1
237,316,459,506,740,859,868,1
223,303,438,481,703,756,744,1
230,315,455,502,720,789,806,1
246,327,464,512,739,864,882,1
232,320,450,495,729,834,830,1
233,322,465,509,729,814,835,1
241,327,474,522,730,823,859,1
213,298,439,483,712,764,743,1
247,322,461,508,726,816,829,1
235,314,448,498,712,763,776,1
233,321,461,494,713,805,837,1
232,316,459,505,739,822,835,1
242,325,471,516,738,815,824,1
